page	chars	preview
1	141	전국 조경수 전국 조경수 ㆍ정원식물 농장 ㆍ정원식물 농장 2026 K-GARDEN 2026 K-GARDEN 창간호 전국 조경수 전국 조경수 ㆍ정원식물 농장 ㆍ정원식물 농장 가이드북 가이드북 나무사랑연구회 전국조경수협동조합 전조협 나무학교동문회
2	0	
3	2020	품 목 크 기 (위 x 아래 x 높이) 용적( ℓ ) 품 목 크 기 (위 x 아래 x 높이) 용적( ℓ ) 비 고 4구~176구(포트) 시설양묘용기 * 묘목 재배용기 ( 18종) 국내 최다 종류 보유 화분19 Φ340xΦ280xH280 19.0 ℓ 검정색 화분25 Φ385xΦ358xH300 25.0 ℓ 검정색 원형화분110 Φ115xΦ76xH105 0.7 ℓ 화분140 Φ830xΦ750xH450 140.0 ℓ 사각화분90,11
4	466	건강한 나무는 뿌리부터 시작합니다. E-mail : sales@rootplus.co.kr Fax: --- - -- 塨塭------- 본사주문 6구 12구 15구 20구 지름 9~10cm 호환 초화상자 제올라이트 고함량 배수 잘 되고 뿌리 건강! 삽목상자 성장속도까지 바꾸는 혁신, 에어포트 에어포트전용상토 이색 포트 씨앗 파종. 삽목. 저렴한 비닐 포트 무게감 있는 흙 배수터·통기성·안정성 흔들림 없이 튼튼하게! 세 가지를 모두
5	581	트리웰포트(Tree-well Pot)는 식물의 뿌리 성장과 관리를 돕기 위해 개발된 기능성 재배 화분(컨테이너)입니다. 트리웰포트 트리웰포트 Tree-well Pot 재배 판매문의 : 010.3233.9650 충북 옥천군 안내면 안내수목원 510-22 · 트리웰 저면관수판! 작은 화분재배의 단점인 물이 빨리 마르는 것을 보완하기위해 개발되었습니다. · 물주기 걱정 NO ! 최장 일주일 이상 습기가 지속되어 자주 물주는 번거로움
6	0	
7	0	
8	876	서와실농원은 충남 부여군과 경기도 화성에서 9만평의 농원에서 목수국을 전문적으로 생산하고 있습니다. 목수국을 트리웰포트로 재배하고 있어 굴취를 하는 노지 재배에 비해 생착률이 매우 높으며 1년 내내 식재가 가능합니다. 서라시 백제시대부터 서와실 농원이 위치한 동네를 서라시라 부르던 것에 유래하여 서와실로 작명함 ✿ 부여 청정지역에 가족기업으로 운영하는 조경수 전문 농장 ✿ 화분재배로 목수국·침엽수·교목류 등 다양한 수종 보유 
9	220	사람과나무 PAGE 37 자세히보기 전북 부안군 주산면Tel : 010-9099-7801 전북 부안 10만 평 규모의 조경수 전문 농장 관공서 납품 기준에 맞춰 수형과 규격을 체계적으로 관리 현장 경험 10년·농장 운영 25년의 노하우로 키운 명품 조경수! 대표수종 직립느티나무 루브룸단풍 애기배롱나무 홍가시(레드로빈) 칠자화 대표 : 이용연 사람과 나무 식재 현장 10년, 농장 25년!
10	380	샤넬농원 대표수종 나무는 심는 것이 아니라, 옮겨 살게 하는 것입니다. 중부권 8만 평 대지에서 완성된 생명력, 실패 없는 조경의 기준 PAGE 16 자세히보기 조경의 완성은 아름다운 수형이 아닌 완벽한 ‘활착’에 있습니다. 여주·이천 등 중부권 8만 평 농장에서 심는 즉시 땅을 움켜쥐는 강인한 생명력으로 하자율 0%에 도전하는 건강한 조경수로 변치 않는 푸름을 약속합니다. 경기도 여주시 가남읍 경기도 이천시 장호원읍 샤넬농원
